Token Number,Rates,length,index_in_dataset,occurrence_number,device
12226,[0.371428571.],8341,157,2,disk
10654,[0.371428571.],7230,122,2,disk
18473,[0.371428571.],14016,127,2,disk
9969,[0.371428571.],6749,4,2,disk
12192,[0.371428571.],8314,44,2,disk
9366,[0.371428571.],6397,83,2,disk
8288,[0.371428571.],6029,120,2,disk
5927,[0.371428571.],3917,96,2,disk
12575,[0.371428571.],9182,184,2,disk
17010,[0.371428571.],12797,28,2,disk
17016,[0.371428571.],12803,107,2,disk
5282,[0.371428571.],3239,44,2,disk
30049,[0.371428571.],23788,133,2,disk
7100,[0.371428571.],4847,42,2,disk
12176,[0.371428571.],8986,170,2,disk
16774,[0.371428571.],11372,6,2,disk
10276,[0.371428571.],7881,35,2,disk
6023,[0.371428571.],4757,159,2,disk
4806,[0.371428571.],3209,40,2,disk
15711,[0.371428571.],11172,142,2,disk
17796,[0.371428571.],13883,95,2,disk
5753,[0.371428571.],3916,110,2,disk
16197,[0.371428571.],12333,12,2,disk
9414,[0.371428571.],6253,131,2,disk
3159,[0.371428571.],2110,72,2,disk
13068,[0.371428571.],10511,98,2,disk
8171,[0.371428571.],5989,65,2,disk
30494,[0.371428571.],24585,186,2,disk
3038,[0.371428571.],2017,104,2,disk
10148,[0.371428571.],6957,14,2,disk
10953,[0.371428571.],8483,61,2,disk
13066,[0.371428571.],10510,51,2,disk
15915,[0.371428571.],10825,21,2,disk
30043,[0.371428571.],23784,135,2,disk
16525,[0.371428571.],11138,56,2,disk
14713,[0.371428571.],10032,141,2,disk
2502,[0.371428571.],1734,98,2,disk
9913,[0.371428571.],6750,15,2,disk
16210,[0.371428571.],12339,178,2,disk
14415,[0.371428571.],9891,164,2,disk
13070,[0.371428571.],8785,13,2,disk
5527,[0.371428571.],3776,30,2,disk
12952,[0.371428571.],8851,100,2,disk
12776,[0.371428571.],10200,41,2,disk
16203,[0.371428571.],12339,171,2,disk
8289,[0.371428571.],6032,128,2,disk
3224,[0.371428571.],2154,17,2,disk
10145,[0.371428571.],6954,162,2,disk
2686,[0.371428571.],1794,1,2,disk
17778,[0.371428571.],13866,62,2,disk
30048,[0.371428571.],23789,64,2,disk
4571,[0.371428571.],3141,16,2,disk
10008,[0.371428571.],6790,67,2,disk
5624,[0.371428571.],3976,40,2,disk
10307,[0.371428571.],6884,26,2,disk
14920,[0.371428571.],10130,51,2,disk
17798,[0.371428571.],13885,32,2,disk
15410,[0.371428571.],10434,79,2,disk
10956,[0.371428571.],8488,47,2,disk
16049,[0.371428571.],11070,123,2,disk
30489,[0.371428571.],24580,27,2,disk
8501,[0.371428571.],5696,112,2,disk
13265,[0.371428571.],8932,156,2,disk
5624,[0.371428571.],3974,91,2,disk
5597,[0.371428571.],3741,190,2,disk
13165,[0.371428571.],9123,64,2,disk
1497,[0.371428571.],936,69,2,disk
14586,[0.371428571.],9980,170,2,disk
3640,[0.371428571.],2483,54,2,disk
6019,[0.371428571.],4751,156,2,disk
15641,[0.371428571.],12646,4,2,disk
5627,[0.371428571.],3979,8,2,disk
10481,[0.371428571.],7008,88,2,disk
9827,[0.371428571.],6607,146,2,disk
10276,[0.371428571.],7881,1,2,disk
